invoice_id,invoice_date,plant,energy_vendor,energy_type,invoice_amount_usd,billing_period_start,billing_period_end,meter_id,rate_plan,payment_terms,currency
900000,1/7/2024,Plant_TX_Houston,Duke Energy,Water & Utilities,18117.98,12/8/2023,1/7/2024,MTR-72212,Time-of-Use,Net 30,USD
900001,1/19/2024,Plant_TX_Houston,NextEra Energy,Natural Gas,63114.98,12/20/2023,1/19/2024,MTR-66123,Fixed,Net 30,USD
900002,1/24/2024,Plant_TX_Houston,Dominion Energy,Natural Gas,27550.29,12/25/2023,1/24/2024,MTR-63316,Time-of-Use,Net 30,USD
900003,1/21/2024,Plant_TX_Houston,Exelon Utilities,Electricity,66501.62,12/22/2023,1/21/2024,MTR-58293,Fixed,Net 30,USD
900004,1/1/2024,Plant_TX_Houston,Exelon Utilities,Natural Gas,55564.32,12/2/2023,1/1/2024,MTR-69392,Fixed,Net 30,USD
900005,1/2/2024,Plant_TX_Houston,NRG Energy,Steam,33045.24,12/3/2023,1/2/2024,MTR-71596,Fixed,Net 30,USD
900006,1/22/2024,Plant_TX_Houston,NRG Energy,Electricity,51355.57,12/23/2023,1/22/2024,MTR-86122,Time-of-Use,Net 30,USD
900007,1/13/2024,Plant_TX_Houston,NRG Energy,Electricity,35676.74,12/14/2023,1/13/2024,MTR-36355,Variable,Net 30,USD
900008,1/13/2024,Plant_TX_Houston,FirstEnergy,Water & Utilities,13775.88,12/14/2023,1/13/2024,MTR-51674,Variable,Net 30,USD
900009,1/23/2024,Plant_TX_Houston,Edison International,Steam,9980.02,12/24/2023,1/23/2024,MTR-75013,Fixed,Net 30,USD
900010,1/8/2024,Plant_TX_Houston,Edison International,Water & Utilities,6954.74,12/9/2023,1/8/2024,MTR-84910,Time-of-Use,Net 30,USD
900011,1/11/2024,Plant_TX_Houston,AES Corporation,Electricity,44513.19,12/12/2023,1/11/2024,MTR-55431,Time-of-Use,Net 30,USD
900012,1/6/2024,Plant_TX_Houston,AES Corporation,Steam,22587.7,12/7/2023,1/6/2024,MTR-66192,Variable,Net 30,USD
900013,1/14/2024,Plant_TX_Houston,Southern Power,Electricity,100535.55,12/15/2023,1/14/2024,MTR-31376,Time-of-Use,Net 30,USD
900014,1/8/2024,Plant_TX_Houston,American Electric Power,Electricity,62964.93,12/9/2023,1/8/2024,MTR-42226,Fixed,Net 30,USD
900015,1/16/2024,Plant_TX_Houston,American Electric Power,Electricity,84048.18,12/17/2023,1/16/2024,MTR-17527,Variable,Net 30,USD
900016,1/8/2024,Plant_TX_Houston,American Electric Power,Electricity,46135.77,12/9/2023,1/8/2024,MTR-32364,Variable,Net 30,USD
900017,1/16/2024,Plant_TX_Houston,Duke Energy LLC,Steam,20502.24,12/17/2023,1/16/2024,MTR-16475,Variable,Net 30,USD
900018,1/12/2024,Plant_TX_Houston,NRG Energy Services,Water & Utilities,5665.22,12/13/2023,1/12/2024,MTR-30164,Variable,Net 30,USD
900019,1/10/2024,Plant_TX_Houston,Exelon Utility Co,Water & Utilities,22553.07,12/11/2023,1/10/2024,MTR-28192,Time-of-Use,Net 30,USD
900020,1/22/2024,Plant_TX_Houston,Exelon Utility Co,Steam,16009.18,12/23/2023,1/22/2024,MTR-26499,Time-of-Use,Net 30,USD
900021,1/19/2024,Plant_TX_Houston,Exelon Utility Co,Electricity,56510.34,12/20/2023,1/19/2024,MTR-65194,Variable,Net 30,USD
900022,1/4/2024,Plant_TX_Dallas,Duke Energy,Water & Utilities,7756.36,12/5/2023,1/4/2024,MTR-34468,Fixed,Net 30,USD
900023,1/10/2024,Plant_TX_Dallas,Duke Energy,Water & Utilities,7888.03,12/11/2023,1/10/2024,MTR-26584,Variable,Net 30,USD
900024,1/6/2024,Plant_TX_Dallas,Duke Energy,Steam,33077.51,12/7/2023,1/6/2024,MTR-33799,Fixed,Net 30,USD
900025,1/20/2024,Plant_TX_Dallas,NextEra Energy,Natural Gas,64797.33,12/21/2023,1/20/2024,MTR-76175,Time-of-Use,Net 30,USD
900026,1/13/2024,Plant_TX_Dallas,NextEra Energy,Electricity,21675.92,12/14/2023,1/13/2024,MTR-84310,Fixed,Net 30,USD
900027,1/24/2024,Plant_TX_Dallas,Dominion Energy,Natural Gas,30332.9,12/25/2023,1/24/2024,MTR-15493,Fixed,Net 30,USD
900028,1/10/2024,Plant_TX_Dallas,Dominion Energy,Water & Utilities,10486.61,12/11/2023,1/10/2024,MTR-75945,Time-of-Use,Net 30,USD
900029,1/20/2024,Plant_TX_Dallas,Dominion Energy,Water & Utilities,6491.75,12/21/2023,1/20/2024,MTR-52457,Time-of-Use,Net 30,USD
900030,1/7/2024,Plant_TX_Dallas,Exelon Utilities,Steam,24087.04,12/8/2023,1/7/2024,MTR-56560,Fixed,Net 30,USD
900031,1/3/2024,Plant_TX_Dallas,Exelon Utilities,Steam,32992.21,12/4/2023,1/3/2024,MTR-92122,Variable,Net 30,USD
900032,1/13/2024,Plant_TX_Dallas,NRG Energy,Electricity,78594.13,12/14/2023,1/13/2024,MTR-19221,Fixed,Net 30,USD
900033,1/9/2024,Plant_TX_Dallas,NRG Energy,Electricity,21777.95,12/10/2023,1/9/2024,MTR-87254,Variable,Net 30,USD
900034,1/11/2024,Plant_TX_Dallas,NRG Energy,Water & Utilities,18934.97,12/12/2023,1/11/2024,MTR-73803,Fixed,Net 30,USD
900035,1/23/2024,Plant_TX_Dallas,FirstEnergy,Electricity,23537.41,12/24/2023,1/23/2024,MTR-89244,Fixed,Net 30,USD
900036,1/13/2024,Plant_TX_Dallas,FirstEnergy,Water & Utilities,14542.65,12/14/2023,1/13/2024,MTR-50101,Time-of-Use,Net 30,USD
900037,1/1/2024,Plant_TX_Dallas,FirstEnergy,Water & Utilities,24921.48,12/2/2023,1/1/2024,MTR-31216,Variable,Net 30,USD
900038,1/6/2024,Plant_TX_Dallas,Edison International,Steam,31424.83,12/7/2023,1/6/2024,MTR-20422,Time-of-Use,Net 30,USD
900039,1/6/2024,Plant_TX_Dallas,AES Corporation,Water & Utilities,22544.37,12/7/2023,1/6/2024,MTR-66790,Fixed,Net 30,USD
900040,1/9/2024,Plant_TX_Dallas,AES Corporation,Steam,36197,12/10/2023,1/9/2024,MTR-20747,Fixed,Net 30,USD
900041,1/8/2024,Plant_TX_Dallas,Southern Power,Steam,19664.88,12/9/2023,1/8/2024,MTR-88377,Time-of-Use,Net 30,USD
900042,1/13/2024,Plant_TX_Dallas,Southern Power,Steam,33762.58,12/14/2023,1/13/2024,MTR-67262,Variable,Net 30,USD
900043,1/4/2024,Plant_TX_Dallas,American Electric Power,Steam,21783.53,12/5/2023,1/4/2024,MTR-34701,Fixed,Net 30,USD
900044,1/23/2024,Plant_TX_Dallas,American Electric Power,Electricity,74212.66,12/24/2023,1/23/2024,MTR-58193,Fixed,Net 30,USD
900045,1/15/2024,Plant_TX_Dallas,American Electric Power,Electricity,83646.6,12/16/2023,1/15/2024,MTR-68934,Fixed,Net 30,USD
900046,1/12/2024,Plant_TX_Dallas,Duke Energy LLC,Natural Gas,17049.43,12/13/2023,1/12/2024,MTR-10392,Variable,Net 30,USD
900047,1/17/2024,Plant_TX_Dallas,NRG Energy Services,Natural Gas,55665.94,12/18/2023,1/17/2024,MTR-16443,Variable,Net 30,USD
900048,1/19/2024,Plant_TX_Dallas,Exelon Utility Co,Water & Utilities,16400.52,12/20/2023,1/19/2024,MTR-86626,Variable,Net 30,USD
900049,1/25/2024,Plant_OH_Toledo,Duke Energy,Electricity,32248.31,12/26/2023,1/25/2024,MTR-96256,Fixed,Net 30,USD
900050,1/20/2024,Plant_OH_Toledo,NextEra Energy,Electricity,88343.06,12/21/2023,1/20/2024,MTR-74407,Variable,Net 30,USD
900051,1/10/2024,Plant_OH_Toledo,Dominion Energy,Steam,18739.72,12/11/2023,1/10/2024,MTR-93882,Time-of-Use,Net 30,USD
